symbol,grey_market_date,grey_close,grey_change_pct,premium_to_ipo_price,source_url,source_note,collected_at
06082.HK,,,+75.820%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
02513.HK,,,+13.170%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
02675.HK,,,+30.900%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
09903.HK,,,+8.440%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
00100.HK,,,+109.090%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
03636.HK,,,+26.000%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
06938.HK,,,+41.620%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
00501.HK,,,+16.220%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
01641.HK,,,+0.330%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
03986.HK,,,+37.530%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
08610.HK,,,+11.670%,,https://www.aastocks.com/en/stocks/market/ipo/listedipo.aspx,"AAStocks Listed IPO debut change % — automated scrape via fetch_aastocks.py (proxy for grey market direction, not actual grey market prices)",2026-06-17
